all,,
one,,
other,more,most
first,,firstmost
new,newer,newest
good,better,best
last,,
own,,
same,,
old,"er elder","oldest eldest"
little,"less lesser littler","least littlest"
different,more,most
next,,
great,greater,greatest
local,more,most
small,smaller,smallest
social,more,most
important,more,most
national,more,most
high,higher,highest
long,longer,longest
second,,
right,"righter more","rightest rightmost"
large,larger,largest
general,more,most
possible,"possibler more","possiblest most"
young,younger,youngest
political,more,most
able,abler,ablest
public,more,most
particular,more,most
full,fuller,fullest
available,more,most
early,earlier,earliest
big,bigger,
main,,
major,more,most
economic,more,most
sure,surer,surest
likely,"likelier more","likeliest most"
only,,
clear,clearer,clearest
real,"realler more","reallest most"
international,more,most
certain,more,most
special,more,most
black,blacker,blackest
difficult,"difficulter more","difficultest most"
open,more,most
whole,"wholer more","wholest most"
half,,
third,,
white,whiter,whitest
free,freer,freest
central,more,most
common,"commoner more","commonest most"
short,shorter,shortest
similar,more,most
human,more,most
necessary,more,most
true,"truer more","truest most"
single,,
private,more,most
personal,more,most
former,,
financial,,
foreign,more,most
recent,more,
strong,stronger,strongest
late,later,latest
low,lower,lowest
hard,harder,hardest
various,,
due,more,most
bad,worse,worst
present,more,most
royal,more,most
poor,poorer,poorest
wrong,"more wronger","most wrongest"
natural,more,most
easy,"easier more","easiest most"
simple,"simpler more","simplest most"
individual,more,most
current,"currenter more","currentest most"
legal,more,most
modern,"moderner more","modernest most"
final,more,most
nice,nicer,nicest
fine,finer,finest
close,closer,closest
normal,"normaller more","normallest most"
red,redder,
total,more,most
serious,"more seriouser","most seriousest"
previous,more,most
significant,more,most
prime,,
industrial,more,most
happy,"happier more","happiest most"
specific,more,most
appropriate,more,most
top,,
wide,wider,widest
dead,deader,deadest
sorry,sorrier,sorriest
successful,more,most
military,more,most
soviet,more,most
original,more,most
basic,more,most
aware,"more awarer","most awarest"
popular,more,most
professional,more,most
direct,directer,directest
useful,"usefuller more","usefullest most"
effective,more,most
ready,readier,readiest
dark,darker,darkest
independent,more,most
traditional,more,most
green,greener,greenest
western,,
considerable,more,most
cold,colder,coldest
physical,more,most
german,more,most
responsible,more,most
complete,"completer more","completest most"
medical,more,most
heavy,heavier,heaviest
extra,,
blue,bluer,bluest
hot,hotter,
past,more,most
essential,more,most
male,"maler more","malest most"
primary,more,most
civil,more,most
future,,
environmental,,
beautiful,more,most
obvious,more,most
positive,more,most
fair,fairer,fairest
senior,more,most
nuclear,,
annual,,
relevant,more,most
regional,,
commercial,more,most
latter,,
huge,huger,hugest
practical,more,most
deep,deeper,deepest
separate,,
key,more,most
official,more,most
chief,"chiefer more","chiefest most"
regular,more,most
usual,more,most
additional,,
active,more,most
standard,more,most
complex,more,most
powerful,"powerfuller powerfuler more",
middle,,
front,further,furthest
impossible,more,most
domestic,more,most
sexual,more,most
actual,,
technical,more,most
ordinary,more,most
internal,more,most
excellent,"excellenter more","excellentest most"
fresh,fresher,freshest
far,"farther further","farthest furthest farthermost furthermost"
potential,,
northern,more,most
rich,richer,richest
religious,more,most
cultural,more,most
joint,,
famous,more,most
alone,more,most
safe,"safer more","safest most"
conservative,more,most
formal,more,most
proper,more,most
very,verier,veriest
rural,more,most
initial,,
substantial,more,most
unable,more,most
average,more,most
warm,warmer,warmest
reasonable,more,most
strange,stranger,strangest
light,lighter,lightest
suitable,more,most
lovely,lovelier,loveliest
fourth,,
immediate,more,most
overall,more,most
equal,more,most
sufficient,more,most
democratic,more,most
soft,softer,softest
